BASE QID,id,name,type,instanceOfLabel,instanceOf,occupationP44,description
,502,Anonym,anonym,,,,anonym
,607,Kenzo Tange,architect,person,Q1,Q23416,architect
,817,John Lobell,architect,person,Q1,Q23416,architect
,579,Aktionsforum Praterinsel,art center,institution,Q1804,,art center
,652,Andrew Forge,art critic,person,Q1,Q20540,art critic
,657,Siegfried Albrecht,art critic,person,Q1,Q20540,art critic
,999,G.R. Swenson,art critic journalist,person,Q1,Q20540,art critic journalist
,603,Kenneth Clark,art historian,person,Q1,,art historian
,606,Meyer Shapiro,art historian,person,Q1,,art historian
,12,Kiyoshi Awazu,artist,person,Q1,Q19157,artist
,58,Chris Dawson,artist,person,Q1,Q19157,artist
,62,Walter De Maria,artist,person,Q1,Q19157,artist
,86,Jacquelyn Farrell,artist,person,Q1,Q19157,artist
,112,Ann Halprin,artist,person,Q1,Q19157,artist
,116,Harry Harper,artist,person,Q1,Q19157,artist
,118,John Harris,artist,person,Q1,Q19157,artist
,130,Takumi Hijikata,artist,person,Q1,Q19157,artist
,137,Tony Holder,artist,person,Q1,Q19157,artist
,151,Dennis Johnson,artist,person,Q1,Q19157,artist
,198,Lynn Lonidier,artist,person,Q1,Q19157,artist
,199,Denny Lord,artist,person,Q1,Q19157,artist
,200,Alvin Lucier,artist,person,Q1,Q19157,artist
,201,Mary Lucier,artist,person,Q1,Q19157,artist
,211,Anthony Martin,artist,person,Q1,Q19157,artist
,231,Rikuro Miyai,artist,person,Q1,Q19157,artist
,237,Norma Muller,artist,person,Q1,Q19157,artist
,238,Paul Muller,artist,person,Q1,Q19157,artist
,262,Pauline Oliveros,artist,person,Q1,Q19157,artist
,269,Peter Pearce,artist,person,Q1,Q19157,artist
,270,Rudy Perez,artist,person,Q1,Q19157,artist
,314,Robert Schuler,artist,person,Q1,Q19157,artist
,341,Gerd Stern,artist,person,Q1,Q19157,artist
,351,Yuji Takahashi,artist,person,Q1,Q19157,artist
,360,Shuji Terayama,artist,person,Q1,Q19157,artist
,365,Yoshio Tsukio,artist,person,Q1,Q19157,artist
,396,Masanobu Yoshimura,artist,person,Q1,Q19157,artist
,600,Jackson Mac Low,artist,person,Q1,Q19157,artist
,654,Kathy Baker,artist,person,Q1,Q19157,artist
,658,Kurd Alsleben,artist,person,Q1,Q19157,artist
,660,John Anthes,artist,person,Q1,Q19157,artist
,662,Mary Ashley,artist,person,Q1,Q19157,artist
